"userid";"barcode";"entryTime"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";6009617224834;"2020-08-11 12:09:40"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";6001001927420;"2020-08-11 12:10:17"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";6009522300210;"2020-08-11 12:10:44"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";2649793020017;"2020-08-11 12:11:43"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";2649790031511;"2020-08-11 12:12:17"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";9310537107525;"2020-08-14 16:13:38"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";8710900033580;"2020-08-14 16:14:43"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";8414775014209;"2020-08-14 16:15:49"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";8414775014209;"2020-08-14 16:15:54"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";6945794730013;"2020-08-14 16:16:40"
"aF63z0R0jlQR7sfOgBAgOCOsQgv1";8414775014209;"2020-08-14 16:15:54"
